FR-AMI,Amiens,49.892,2.299
FR-BHE,Braches,49.73247,2.50607
FR-BU2,Bury,49.31307,2.34401
FR-ENC,Nancy,48.6936,6.1846
FR-GNB,Grenoble,45.1715,5.7224
FR-HLA,Chalais,45.29052813,0.047632395
FR-LIO,Lyon,45.74846,4.84671
FR-NTE,Nantes,47.2181,-1.5528
FR-NTN,Benest,46.03833,0.45223
FR-OMI,Romillé,48.21586,-1.89208
FR-PAR,Paris,48.8567,2.3522
FR-RIX,Ruy,45.5864,5.32143
FR-RNS,Rennes,48.11198,-1.67429
FR-SBX,Sablons,45.32104,4.77449
FR-STP,Saint-Tropez,43.26764,6.64049
FR-ZHT,Saasenheim,48.23612,7.619
FR-ZNO,Bizanos,43.28753,-0.35164
